Symbol,Live,Trend,Momentum,Volatility,Flow,RelStrength,Quality,Macro,STS,LTS,Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore,Issues,98
XLF,53.34,2.73,9.98,73.08,11.60,-5.16,19.97,98.00,2.52,33.10,2025-10-24,52.85,53.28,52.81,53.11,31942100,53.08,53.25,50.86,-0.03,0.03,0.04,FALSE,TRUE,2.39,0.02,-9.35,13.52,50.93,4.54,-0.20,-0.03,0.40,11.34,14.30,62.55,-1.39,1.56,64.71,0.87,-0.01,0.04,2.05,0.31,-4.38,0.78,-810257200.00,4.09,-207719372242.55,-0.11,42.29,-9.96,-10.66,0.00,-0.01,-0.16,-0.19,-0.01,0.05,,
XLI,155.58,3.49,11.75,40.64,13.82,-2.69,19.98,98.00,4.19,28.53,2025-10-24,156.00,156.04,154.84,154.91,7502400,153.47,152.17,141.63,0.09,0.08,0.07,TRUE,TRUE,10.53,0.07,-1.09,17.18,56.34,-1.15,0.50,0.12,0.67,20.94,14.73,81.63,1.53,1.61,145.87,0.80,-0.01,0.05,1.84,0.51,-3.66,0.72,-16150300.00,7.81,-44869796213.32,-0.11,48.27,-9.69,-1.06,0.00,0.00,-0.09,-0.21,-0.01,0.99,,
XLK,298.41,4.00,16.40,-48.30,10.69,5.09,20.58,98.00,8.50,15.96,2025-10-24,292.50,294.57,292.07,293.58,7179000,285.77,275.18,242.07,0.70,0.41,0.09,TRUE,TRUE,33.11,0.56,12.61,18.67,64.81,4.10,3.78,0.00,11.31,41.24,27.48,93.94,5.29,1.95,367.43,1.12,-0.02,0.11,2.75,2.51,-4.23,0.75,354290400.00,-13.16,-11211163199.35,0.03,52.37,0.95,19.24,0.00,0.17,2.58,-0.33,-0.02,2.13,,
XLP,79.04,2.71,10.31,70.15,16.76,-8.62,19.84,98.00,1.47,32.06,2025-10-24,79.88,79.90,79.06,79.09,12735500,78.60,79.40,79.58,-0.04,-0.03,0.01,FALSE,FALSE,-0.17,-0.06,26.25,13.61,51.10,-2.69,0.10,0.17,-1.27,-0.82,-0.97,62.46,1.45,1.10,72.81,0.66,0.00,0.00,1.42,-0.40,-6.28,1.05,-14290200.00,10.29,-115235343076.21,-0.05,57.62,-11.63,-22.82,0.00,-0.03,-0.76,-0.03,0.00,0.68,,
XLRE,42.55,2.73,13.18,76.69,40.69,-5.79,20.11,98.00,3.37,34.15,2025-10-24,42.72,42.88,42.64,42.65,7820300,41.85,41.72,41.02,0.00,0.01,0.01,TRUE,TRUE,0.70,0.02,27.89,13.59,62.41,3.21,0.22,0.13,2.20,6.99,0.50,89.87,1.84,1.07,55.95,0.73,-0.01,0.03,2.50,1.06,-4.46,1.16,-136625500.00,127.59,-47827247921.85,0.02,59.27,-8.16,-15.01,0.00,0.02,0.50,-0.16,-0.01,1.43,,
XLU,90.88,8.14,15.41,34.61,21.42,-0.95,20.43,98.00,7.54,29.27,2025-10-24,90.85,91.84,90.76,91.39,10867800,90.19,86.76,80.92,0.33,0.08,0.04,TRUE,TRUE,5.84,0.12,20.35,40.42,64.11,3.27,1.35,-0.19,10.03,18.46,15.66,39.59,5.28,1.35,161.06,0.78,-0.01,0.07,2.13,2.16,-5.38,0.98,308244000.00,33.89,-105104582882.91,0.04,57.34,-0.33,-3.55,0.00,0.09,1.95,-0.27,-0.01,0.74,,
XLV,145.69,5.18,16.99,2.44,7.90,-4.24,20.76,98.00,5.98,23.19,2025-10-24,146.29,146.76,145.88,146.03,7007400,143.30,139.26,137.86,0.33,0.11,-0.05,TRUE,TRUE,1.40,0.24,25.37,25.56,70.15,2.36,1.98,0.13,8.43,6.77,-1.64,87.22,7.77,1.06,241.96,0.90,0.00,0.01,1.75,3.26,-8.33,0.62,-26774000.00,-30.42,-50131821478.99,0.14,55.05,-1.93,-15.23,0.00,0.19,3.41,-0.09,0.00,1.13,,
XLY,240.69,3.36,11.39,-24.76,4.56,-1.57,20.25,98.00,4.39,17.78,2025-10-24,239.26,239.83,237.42,237.66,3240800,236.66,235.53,217.75,-0.11,0.35,0.13,TRUE,TRUE,17.78,0.26,-7.19,15.82,52.96,-3.21,0.36,0.17,5.26,20.74,21.57,78.84,-0.86,1.71,309.22,1.06,-0.02,0.07,1.93,1.66,-5.38,0.56,93890100.00,-33.52,-9936357978.21,0.06,44.32,-5.10,-1.26,0.00,0.07,1.12,-0.27,-0.02,0.32,,
XME,96.91,8.23,17.00,-97.78,15.39,19.03,20.74,98.00,14.75,10.87,2025-10-24,98.88,101.00,98.81,99.82,1785900,100.81,90.91,69.43,0.77,0.40,0.03,TRUE,TRUE,21.49,0.55,4.19,39.97,53.30,-1.01,2.96,-1.22,31.11,76.99,52.28,28.31,8.26,4.83,486.37,2.08,-0.04,0.12,6.50,3.99,-10.69,0.54,119320200.00,3.98,-4557113822.01,-0.05,57.76,20.75,54.99,0.00,0.37,2.97,-0.35,-0.04,-0.20,,
XQQ,63.57,3.30,14.57,72.80,5.17,25.81,58.50,98.00,14.56,45.50,2025-10-24,62.73,62.91,62.61,62.78,133900,61.55,60.12,54.58,0.09,0.08,0.02,TRUE,TRUE,5.54,0.08,16.15,16.27,62.62,1.67,0.57,0.02,8.84,30.94,24.66,95.55,3.82,1.52,65.46,0.88,0.76,0.33,2.07,2.23,-3.63,0.89,1966100.00,-34.75,-161689346.27,0.09,47.30,-1.73,8.94,96.03,0.02,0.39,0.57,0.76,1.88,,
XRB,23.39,3.56,12.86,93.76,165.28,7.79,43.40,98.00,8.07,43.23,2025-10-24,23.46,23.46,23.39,23.39,1700,23.26,23.10,23.05,0.00,0.01,0.00,TRUE,TRUE,0.05,0.01,26.58,17.78,59.88,-3.68,0.09,0.01,4.56,1.63,4.17,84.06,1.17,0.47,14.64,0.35,0.06,0.01,1.00,1.56,-4.49,0.42,-241720.00,750.00,-142817165.96,0.15,60.46,-6.02,-20.38,57.52,0.04,1.87,0.11,0.06,0.90,,
XRE,16.22,2.98,12.05,92.83,1.06,11.01,43.96,98.00,8.68,43.47,2025-10-24,16.20,16.28,16.20,16.21,178100,16.07,16.07,15.12,-0.01,0.01,0.00,TRUE,TRUE,0.95,0.01,-15.25,14.89,57.25,7.06,0.00,0.02,2.75,13.73,1.28,70.77,1.19,1.00,16.10,0.65,0.40,0.17,1.61,0.76,-3.48,0.67,-21428000.00,-51.17,-5242551271.87,-0.06,44.41,-7.82,-8.27,60.16,-0.02,-0.47,0.41,0.40,0.88,,
XSB,27.23,5.23,14.46,97.96,23.68,10.78,49.51,98.00,10.16,45.99,2025-10-24,27.23,27.24,27.21,27.22,106500,27.15,27.02,26.68,0.01,0.01,0.01,TRUE,TRUE,0.35,0.01,41.67,26.13,70.21,-0.78,0.05,0.00,2.13,2.49,4.98,86.67,0.55,0.11,4.85,0.08,0.01,0.01,0.26,2.73,-0.67,0.94,6526500.00,38.49,-4754680585.71,0.10,62.71,-8.44,-19.51,71.03,0.03,5.42,0.09,0.01,1.42,,
XSH,19.36,5.74,14.65,98.39,27.87,11.58,50.35,98.00,10.66,46.45,2025-10-24,19.36,19.36,19.33,19.33,105500,19.30,19.20,18.88,0.01,0.01,0.00,TRUE,TRUE,0.32,0.01,60.00,28.69,71.19,-5.52,0.04,0.00,2.18,3.27,5.85,44.44,0.52,0.17,3.75,0.10,0.00,0.00,0.23,2.42,-0.57,0.94,10908200.00,31.71,-2847794147.29,-0.34,85.34,-8.39,-18.73,73.40,0.03,4.90,0.03,0.00,0.87,,
XUS,59.58,4.62,14.82,79.79,16.05,26.91,62.12,98.00,15.45,47.71,2025-10-24,59.00,59.27,59.00,59.04,125700,58.14,56.81,52.57,0.09,0.08,0.02,TRUE,TRUE,4.25,0.08,13.88,22.85,63.68,1.53,0.52,-0.02,9.72,25.75,19.75,90.09,3.33,1.17,48.58,0.70,0.62,0.36,1.55,2.82,-4.37,0.82,4929600.00,24.58,-699370007.49,0.05,43.52,-0.86,3.75,104.70,0.04,1.11,0.60,0.62,1.84,,
XUU,70.38,4.28,14.80,75.78,25.62,26.27,61.08,98.00,15.12,46.70,2025-10-24,69.82,70.11,69.82,69.89,39800,68.76,67.23,62.30,0.10,0.10,0.03,TRUE,TRUE,4.93,0.10,13.14,21.13,63.39,1.56,0.60,-0.01,9.74,25.66,19.51,92.20,3.42,1.18,58.55,0.72,0.66,0.37,1.66,2.73,-4.38,1.30,463700.00,60.48,-135391576.24,0.01,52.50,-0.83,3.66,102.21,0.03,0.92,0.61,0.66,1.93,,
ZAG,14.05,5.31,13.59,97.42,15.10,9.93,47.00,98.00,9.61,45.21,2025-10-24,14.07,14.07,14.03,14.03,410800,13.97,13.85,13.71,0.00,0.01,0.00,TRUE,TRUE,0.14,0.01,33.33,26.52,64.30,-6.15,0.05,0.00,3.76,2.85,5.25,75.00,1.01,0.27,5.83,0.22,0.03,0.01,0.69,2.74,-2.02,1.03,2138800.00,-1.60,-5812207179.44,-0.22,60.67,-6.82,-19.15,65.64,0.05,3.60,0.08,0.03,0.97,,
ZBAL,14.98,7.09,13.62,96.04,4.75,18.56,53.90,98.00,13.09,47.87,2025-10-24,14.96,14.96,14.93,14.93,19400,14.82,14.54,13.71,0.02,0.02,0.01,TRUE,TRUE,0.83,0.02,11.00,35.41,61.25,3.15,0.09,-0.01,7.57,15.19,15.36,91.43,1.40,0.70,8.76,0.51,0.50,0.43,0.88,3.07,-2.27,0.59,674700.00,-55.91,-308898709.51,0.22,62.78,-3.00,-6.81,84.02,0.03,1.39,0.66,0.50,1.23,,
ZCM,16.00,6.67,12.87,97.66,16.28,11.92,49.25,98.00,10.49,46.06,2025-10-24,16.00,16.02,15.98,15.98,17700,15.95,15.80,15.45,0.01,0.01,0.00,TRUE,TRUE,0.35,0.01,18.75,33.35,60.77,-4.84,0.06,-0.01,3.92,4.95,7.69,62.50,0.79,0.22,5.37,0.21,0.04,0.02,0.53,2.74,-1.53,1.45,3269100.00,-15.71,-663993602.57,0.27,75.69,-6.66,-17.05,71.34,0.05,3.46,0.13,0.04,0.64,,
ZCN,40.46,6.92,13.61,85.43,11.20,26.44,61.32,98.00,15.66,48.62,2025-10-24,40.53,40.70,40.52,40.61,147500,40.43,39.26,35.30,0.07,0.07,0.02,TRUE,TRUE,3.97,0.08,-2.88,34.40,57.43,7.25,0.32,-0.11,11.50,24.22,26.82,56.62,2.29,1.25,34.48,0.69,1.01,0.96,1.41,3.67,-2.46,0.95,1236200.00,0.48,-1270349123.58,-0.10,43.36,0.93,2.22,102.61,0.01,1.38,0.98,1.01,0.54,,
ZCS,14.17,5.49,13.75,98.92,4.09,11.49,50.29,98.00,10.24,46.32,2025-10-24,14.17,14.17,14.15,14.15,42700,14.13,14.06,13.82,0.00,0.00,0.00,TRUE,TRUE,0.23,0.00,33.33,27.42,66.79,-9.58,0.03,0.00,2.12,3.30,5.77,71.43,0.46,0.15,2.43,0.08,0.02,0.03,0.27,2.74,-0.50,0.73,1347200.00,-65.20,-2180089768.33,-0.08,67.71,-8.45,-18.70,73.09,0.03,5.19,0.17,0.02,0.94,,
ZDB,15.36,5.76,14.04,97.21,18.98,9.93,46.98,98.00,9.91,45.32,2025-10-24,15.38,15.38,15.36,15.36,25500,15.28,15.15,15.01,0.01,0.01,0.00,TRUE,TRUE,0.14,0.01,41.54,28.76,66.48,-4.39,0.06,0.00,3.74,2.91,5.18,87.50,1.15,0.24,6.39,0.22,-0.01,0.00,0.68,2.45,-2.04,0.61,612900.00,0.79,-575957866.34,0.06,74.49,-6.84,-19.09,65.58,0.05,3.65,-0.02,-0.01,1.30,,
ZDV,26.05,7.48,13.66,94.46,30.42,22.74,59.33,98.00,14.63,49.28,2025-10-24,26.05,26.10,26.05,26.09,31700,25.99,25.39,23.28,0.04,0.04,0.01,TRUE,TRUE,2.11,0.04,-3.95,37.27,60.69,8.22,0.17,-0.05,8.59,18.69,20.17,58.62,1.40,0.82,12.58,0.39,0.50,0.71,0.88,4.85,-1.53,0.90,973800.00,84.30,-1218951526.63,-0.14,53.31,-1.99,-3.31,96.19,0.06,4.18,0.84,0.50,0.78,,
ZEA,28.23,3.28,13.83,88.69,28.28,20.94,57.37,98.00,12.68,47.02,2025-10-24,28.17,28.17,28.05,28.05,51700,27.78,27.29,25.35,0.04,0.03,0.01,TRUE,TRUE,1.94,0.03,2.09,16.31,60.62,1.66,0.23,-0.01,7.36,16.27,23.86,86.02,3.62,0.81,26.82,0.64,0.54,0.32,1.29,2.91,-3.10,0.98,1859400.00,56.19,-678101212.37,0.22,66.77,-3.21,-5.73,92.68,0.05,1.38,0.56,0.54,0.99,,
ZEB,53.37,8.03,15.82,85.85,-3.03,29.06,61.14,98.00,17.64,49.65,2025-10-24,52.96,53.28,52.96,53.19,1070400,52.55,51.02,44.40,0.07,0.11,0.04,TRUE,TRUE,6.62,0.13,9.26,39.81,66.66,4.96,0.51,-0.07,13.69,34.71,34.49,93.71,2.18,0.94,33.79,0.57,0.52,0.36,1.28,5.72,-1.76,0.76,64929100.00,-74.00,-16600865380.27,-0.01,46.18,3.11,12.71,100.30,0.14,4.82,0.60,0.52,1.90,,
ZEM,27.99,5.86,16.06,83.74,24.52,24.18,54.82,98.00,15.37,47.11,2025-10-24,27.86,27.89,27.76,27.80,30500,27.21,26.19,23.48,0.07,0.05,0.01,TRUE,TRUE,2.70,0.06,15.14,29.12,65.66,4.38,0.41,-0.01,14.22,29.42,25.94,94.55,4.63,1.37,38.26,0.78,0.66,0.32,2.02,4.11,-3.89,0.77,-480000.00,50.99,-204163038.34,0.10,56.26,3.64,7.42,85.56,0.11,2.75,0.56,0.66,1.54,,
ZEO,78.29,4.40,9.36,35.73,14.04,27.66,69.64,98.00,13.81,40.80,2025-10-24,78.65,78.65,77.94,78.11,7800,79.26,78.26,73.45,0.04,0.10,0.02,FALSE,TRUE,4.81,0.10,-40.87,21.71,46.15,10.89,-0.31,-0.29,5.92,13.49,9.16,32.36,-4.04,1.12,157.80,0.72,0.26,0.06,3.49,1.16,-5.56,0.78,-284300.00,18.18,-391815749.77,-0.50,41.17,-4.65,-8.51,123.79,0.03,0.58,0.25,0.26,-0.73,,
ZEQT,20.44,10.32,-1.46,93.05,36.67,-30.77,32.25,98.00,-7.30,33.57,2025-10-24,20.30,20.40,20.30,20.34,72600,20.11,21.13,44.66,0.03,-0.69,0.00,FALSE,FALSE,-23.53,-0.56,8.49,53.23,38.25,4.66,-0.74,0.38,-63.32,-58.87,-59.50,91.30,3.17,1.07,15.70,8.65,1.23,0.01,1.21,-1.79,-66.69,1.35,493500.00,116.72,-22595072.70,-0.07,51.74,-73.89,-80.87,32.85,-1.16,-2.13,0.09,1.23,1.44,,
ZFL,12.61,5.57,14.30,94.58,7.95,6.68,41.43,98.00,8.85,43.43,2025-10-24,12.64,12.65,12.61,12.61,50100,12.47,12.30,12.49,0.00,0.00,0.00,TRUE,TRUE,-0.19,0.01,40.35,27.82,65.28,-4.17,0.08,0.01,6.13,0.79,0.36,82.93,2.02,0.53,12.24,0.53,-0.03,0.00,1.56,1.83,-7.22,0.87,-2280900.00,-36.66,-813606312.59,-0.28,60.35,-4.45,-21.21,52.27,0.08,2.47,-0.04,-0.03,1.16,,
ZGRO,17.54,7.03,14.13,94.25,0.85,21.75,56.82,98.00,14.31,48.66,2025-10-24,17.41,17.51,17.41,17.47,16300,17.29,16.92,15.74,0.02,0.02,0.01,TRUE,TRUE,1.18,0.02,8.88,35.10,61.89,3.68,0.13,-0.01,8.76,19.41,18.81,92.00,2.73,0.93,12.84,0.57,0.64,0.54,1.19,3.22,-2.86,0.47,892800.00,-66.73,-288445591.88,0.12,56.11,-1.81,-2.59,91.39,0.03,1.23,0.74,0.64,1.39,,
ZLB,,3.59,14.34,83.72,41.83,21.01,59.43,98.00,12.98,46.68,2025-10-17,55.91,56.10,55.75,55.93,75400,55.33,54.80,51.07,0.03,0.04,0.03,TRUE,TRUE,3.74,0.04,44.54,17.79,65.40,-0.09,0.32,0.05,5.00,14.19,17.64,71.64,2.79,0.63,39.54,0.41,0.37,0.31,1.06,2.09,-1.94,1.77,79000.00,153.02,-815650180.36,-0.68,43.46,-4.17,-10.04,98.24,0.01,0.65,0.56,0.37,1.51,,
ZLC,15.58,5.85,15.30,94.92,37.28,10.66,46.48,98.00,10.60,45.20,2025-10-24,15.57,15.60,15.57,15.58,24800,15.40,15.18,15.05,0.01,0.00,0.00,TRUE,TRUE,0.14,0.01,42.37,29.23,70.81,-0.31,0.10,0.01,5.18,5.31,7.72,94.87,2.23,0.42,11.66,0.37,-0.02,0.00,1.25,2.18,-3.32,1.21,-2386100.00,90.77,-519230652.06,-0.09,75.13,-5.39,-16.69,64.65,0.07,2.98,-0.03,-0.02,1.52,,
ZLU,,6.81,14.06,68.92,7.33,18.20,56.31,98.00,13.03,43.72,2025-10-17,59.14,59.14,58.86,59.02,7100,58.53,57.58,55.76,0.09,0.06,0.02,TRUE,TRUE,1.82,0.06,31.53,33.89,61.41,-7.17,0.53,-0.02,7.19,9.32,7.74,63.22,3.81,0.64,76.64,0.53,0.27,0.10,0.85,2.80,-3.40,0.65,-608700.00,-46.21,-130523399.12,-0.04,65.56,-1.97,-14.91,89.63,0.07,2.16,0.32,0.27,0.64,,
ZQQ,176.86,3.25,14.87,25.67,8.03,25.77,58.45,98.00,14.63,37.67,2025-10-24,174.19,174.76,173.92,174.36,18500,170.95,166.98,151.61,0.25,0.21,0.06,TRUE,TRUE,15.38,0.23,16.32,15.62,62.79,1.24,1.57,0.06,8.83,30.91,24.55,95.10,3.87,1.50,183.28,0.89,0.74,0.31,2.08,2.23,-3.66,0.64,1735800.00,-21.61,-38663945.37,0.06,48.59,-1.74,8.91,95.88,0.02,0.46,0.56,0.74,1.86,,
ZRE,22.65,3.89,12.35,89.60,3.88,11.60,45.23,98.00,9.28,43.44,2025-10-24,22.68,22.75,22.65,22.65,12100,22.41,22.41,21.17,-0.02,0.01,0.01,TRUE,TRUE,1.24,0.01,-10.98,19.40,58.36,8.03,0.01,0.04,2.81,12.98,4.14,76.09,1.61,0.92,24.21,0.58,0.36,0.17,1.75,0.97,-3.67,0.52,-1091600.00,-37.95,-407214257.32,-0.04,45.30,-7.77,-9.02,63.20,-0.01,-0.21,0.41,0.36,1.00,,
ZSP,104.96,4.69,14.99,65.59,12.45,26.91,62.08,98.00,15.53,45.38,2025-10-24,104.00,104.47,104.00,104.08,135200,102.49,100.12,92.64,0.16,0.15,0.04,TRUE,TRUE,7.48,0.15,14.08,23.02,64.01,1.64,0.92,-0.03,9.81,25.76,19.80,90.46,3.32,1.18,84.08,0.69,0.63,0.37,1.56,2.85,-4.39,0.76,10995700.00,0.45,-1252311135.23,-0.01,48.53,-0.77,3.76,104.61,0.04,1.11,0.61,0.63,1.89,,
ZUE,93.12,3.81,13.96,69.81,19.30,22.00,56.18,98.00,13.26,43.96,2025-10-24,92.19,92.57,92.19,92.42,21800,91.12,89.70,82.94,0.08,0.10,0.03,TRUE,TRUE,6.76,0.10,10.18,18.77,61.97,3.34,0.53,0.02,6.69,23.40,16.48,95.61,2.87,1.12,73.54,0.69,0.68,0.43,1.63,2.10,-2.97,1.00,-268500.00,32.12,-64885102.76,-0.03,50.32,-3.89,1.40,90.49,0.00,-0.07,0.66,0.68,1.76,,
^DJI,47456.65,28.82,85.10,-14907.63,12.66,-2.33,20.40,98.00,37.20,-2446.27,2025-10-24,46811.51,47326.73,46811.51,47207.12,403500000,46453.42,45960.16,43575.65,24.38,40.28,11.28,TRUE,TRUE,2384.50,44.43,12.06,22.34,63.27,1.49,239.44,45.91,5.28,17.68,9.98,93.62,2.08,1.25,37516.89,0.65,-0.01,0.11,1.88,2.39,-3.16,0.85,16911930000.00,-7.09,31240536535.38,0.10,55.20,-5.08,-4.32,0.00,0.07,1.87,-0.33,-0.01,2.01,,
^FTSE,9669.08,9.16,34.60,-3094.48,17.45,17.87,53.66,98.00,20.54,-480.20,2025-10-24,9578.60,9645.60,9560.50,9645.60,779192300,9457.25,9319.73,8849.61,11.27,7.42,2.84,TRUE,TRUE,470.12,6.80,26.50,23.60,70.47,14.65,66.22,9.74,6.21,14.59,16.93,100.00,3.89,0.81,7984.42,0.48,0.00,0.01,1.93,2.53,-2.20,1.09,66799996200.00,13.31,19416035624.90,0.22,57.64,-4.15,-6.89,82.42,0.10,3.29,-0.09,0.00,2.36,,
^GSPC,6853.92,8.49,23.94,-2043.58,14.07,-0.77,20.45,98.00,10.56,-315.58,2025-10-24,6772.07,6807.11,6772.07,6791.69,5058220000,6697.57,6595.16,6086.79,5.27,7.49,2.22,TRUE,TRUE,508.37,7.33,7.54,20.57,62.39,3.43,38.35,2.39,6.29,22.92,16.07,93.98,2.23,1.28,5356.83,0.70,-0.01,0.13,1.68,2.30,-2.98,0.92,188824140000.00,-0.88,446850098686.87,0.16,55.71,-4.07,0.92,0.00,0.09,2.09,-0.35,-0.01,1.76,,
^GSPTSE,30156.71,37.66,49.25,-9985.81,7.19,23.18,56.69,98.00,36.69,-1620.17,2025-10-24,30248.70,30411.30,30248.70,30353.10,212699600,30219.41,29400.29,26624.53,48.95,50.00,15.76,TRUE,TRUE,2775.76,57.41,-3.24,32.22,57.08,7.33,219.38,-75.84,10.89,22.75,23.52,54.75,2.09,1.23,25212.59,0.69,1.02,0.96,1.40,3.42,-2.44,0.79,21044488800.00,-27.47,22290552062.28,0.07,49.71,0.31,0.75,91.66,0.00,0.11,0.98,1.02,0.53,,
^NDX,25735.78,22.95,73.77,-10207.89,20.21,1.71,20.49,98.00,32.81,-1665.16,2025-10-24,25307.75,25418.64,25288.71,25358.16,10308620000,24859.93,24272.43,21943.31,34.21,31.29,10.33,TRUE,TRUE,2329.12,35.10,10.76,17.23,62.50,1.90,226.94,10.91,8.57,30.49,24.36,95.01,3.49,1.61,25767.04,0.93,-0.02,0.13,2.16,2.32,-3.64,0.99,558060200000.00,21.44,667990359185.49,0.20,62.31,-1.79,8.49,0.00,0.12,2.20,-0.36,-0.02,1.93,,
^RUT,2527.67,5.53,18.85,-1084.87,12.45,1.88,20.37,98.00,8.75,-156.71,2025-10-24,2502.11,2526.84,2502.11,2513.47,5058220000,2468.60,2414.62,2201.68,2.90,4.28,-0.04,TRUE,TRUE,212.93,4.81,5.49,16.47,58.17,2.30,21.51,-1.44,11.38,28.39,12.63,80.92,3.25,2.07,2959.03,1.26,-0.02,0.10,2.18,2.59,-5.10,0.92,41202030000.00,-0.88,167440797507.62,0.11,49.31,1.02,6.39,0.00,0.12,1.60,-0.32,-0.02,1.52,,
^STOXX50E,5707.14,6.00,26.79,-2053.51,10.74,-3.95,20.79,98.00,9.61,-317.65,2025-10-24,5685.52,5694.78,5650.42,5674.50,15672600,5614.95,5490.97,5345.90,10.88,2.95,2.12,TRUE,TRUE,145.06,5.96,8.64,16.42,60.83,-2.97,52.41,0.38,6.31,10.10,14.84,88.35,3.18,1.11,5381.98,0.72,0.00,0.01,1.36,2.07,-4.72,0.89,940318100.00,-16.01,1398060741.33,0.16,54.54,-4.05,-11.90,0.00,0.16,3.62,0.11,0.00,1.11,,
^VIX,15.97,6.98,20.93,-15.45,0.00,-6.20,20.63,98.00,7.24,20.81,2025-10-17,28.41,28.99,20.73,20.78,,17.87,16.04,18.72,0.15,-0.01,0.02,TRUE,TRUE,-2.68,0.06,21.42,34.83,56.53,-5.27,1.64,0.58,25.94,-21.50,2.11,37.14,34.50,13.18,261.15,15.29,0.43,0.38,28.60,-1.05,-100.00,,0.00,,0.00,,,16.49,-42.23,0.00,0.96,1.24,0.62,0.43,1.11,,